0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:28 +0530] "GET /CollaborationFrontEnd/js/classie.js HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationBack/users/supriga HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:39 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:52 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:52 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:55 +0530] "GET /CollaborationFrontEnd/c_blog/createBlog.html HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:02:55 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:10:29:37 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:06 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/fonts/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/css/set2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/user/AuthenticationService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:11:33:08 +0530] "GET /CollaborationFrontEnd/user/LoginController.js HTTP/1.1" 304 -
